method,factor_a,factor_b,mean_11,mean_10,mean_01,mean_00,interaction_term
qrdqn,continuous_obs,sort_rows,-7.859000015258789,-8.514099979400635,-9.305799865722655,-10.429500007629395,-0.46860017776489293
qrdqn,continuous_obs,add_diff,-8.03629994392395,-8.336800050735473,-10.153299903869629,-9.581999969482421,0.8718000411987301
qrdqn,sort_rows,add_diff,-8.663799905776976,-8.500999975204468,-9.5257999420166,-9.41780004501343,-0.05480003356933594
